logEvidence  uncertainty
-0.585302191931347E+003  0.221110283590371E+000
-0.585058741586210E+003  0.219622285667262E+000
-0.585138531288503E+003  0.218867300808035E+000
-0.565579528811648E+003  0.394409387588852E+000
-0.564231821091122E+003  0.246619507601727E+000
-0.565211970077917E+003  0.254614202438120E+000
-0.540727802338186E+003  0.752279223794817E+000
-0.542683286149550E+003  0.656568202993568E+000
-0.545409373164640E+003  0.532731907888529E+000
-0.522272400807390E+003  0.677995529973854E+000
-0.525916990855701E+003  0.629062252393384E+000
-0.523936935245859E+003  0.374007268770553E+000
-0.518966638757389E+003  0.612602172518874E+000
-0.524475526500388E+003  0.100387548700670E+001
-0.525625319260094E+003  0.780080389734560E+000
